title	torrent_size	link
The.Curse.of.Oak.Island.S11E01.720p.WEB.h264-EDITH[TGx]	373.2 MB	https://1337x.to/torrent/5875844/The-Curse-of-Oak-Island-S11E01-720p-WEB-h264-EDITH-TGx/
The.Morning.Show.2019.S03E10.HDR.2160p.WEB.H265-NHTFS[TGx]	2.4 GB	https://1337x.to/torrent/5875393/The-Morning-Show-2019-S03E10-HDR-2160p-WEB-H265-NHTFS-TGx/
Foe 2023 1080p WEB-DL DDP5 1 Atmos H 264-FLUX		https://1337x.to/torrent/5875485/Foe-2023-1080p-WEB-DL-DDP5-1-Atmos-H-264-FLUX/
Black.Cake.S01E04.WEB.x264-PHOENiX		https://1337x.to/torrent/5875556/Black-Cake-S01E04-WEB-x264-PHOENiX/
Foe.2023.1080p.10bit.WEBRip.6CH.x265.HEVC-PSA		https://1337x.to/torrent/5876119/Foe-2023-1080p-10bit-WEBRip-6CH-x265-HEVC-PSA/
Shetland.S08E02.HDTV.x264-PHOENiX		https://1337x.to/torrent/5876673/Shetland-S08E02-HDTV-x264-PHOENiX/
Found.2023.S01E06.720p.WEB.x265-MiNX[TGx]		https://1337x.to/torrent/5875984/Found-2023-S01E06-720p-WEB-x265-MiNX-TGx/
Fukrey.3.2023.Hindi.720p.AMZN.WEB-DL.DD+5.1.H.265-TheBiscuitMan		https://1337x.to/torrent/5876663/Fukrey-3-2023-Hindi-720p-AMZN-WEB-DL-DD-5-1-H-265-TheBiscuitMan/
Risk of Rain Returns		https://1337x.to/torrent/5876712/Risk-of-Rain-Returns/
Found.2023.S01E06.1080p.WEB.h264-ETHEL[TGx]		https://1337x.to/torrent/5875969/Found-2023-S01E06-1080p-WEB-h264-ETHEL-TGx/
